epoch,start_time,end_time,epoch_time_s,learning_rate,train_loss,train_reconstruction_loss,train_weighted_vicreg_loss,val_loss,val_reconstruction_loss,val_weighted_vicreg_loss,val_psnr_masked,val_psnr_full,val_ssim_3d,val_ssim_3d_masked,val_embedding_effective_rank,val_zero_variance_dimensions_pct
0,2026_06_11_22_34_55,2026_06_12_01_49_19,199.86314725875854,0.0001,0.12312287837266922,0.12105824053287506,0.002064640400931239,0.16415998339653015,0.1619596630334854,0.002200294751673937,6.829676628112793,7.9227166175842285,0.4614402949810028,0.8689890503883362,402.60760498046875,0.0
1,2026_06_12_01_51_26,2026_06_12_05_04_25,11791.188535451889,9.938441702975708e-05,0.09184767305850983,0.08984802663326263,0.0019996461924165487,0.13898536562919617,0.1368933469057083,0.0020920459646731615,7.389128684997559,8.648743629455566,0.5259630084037781,0.8906970620155334,415.4951171875,0.0
2,2026_06_12_05_07_49,2026_06_12_08_23_33,11782.468446493149,9.755282581475786e-05,0.10066472738981247,0.09866142272949219,0.002003303961828351,0.13896462321281433,0.13689349591732025,0.0020711880642920732,7.371040344238281,8.648297309875488,0.544820249080658,0.8970425724983215,420.10247802734375,0.0
3,2026_06_12_08_25_42,2026_06_12_11_39_30,11873.080556154251,9.455032620941835e-05,0.07633722573518753,0.07435043156147003,0.001986790681257844,0.13101036846637726,0.12893564999103546,0.0020747066009789705,7.572981834411621,8.911665916442871,0.5699034333229065,0.9035893678665161,428.32489013671875,0.0
4,2026_06_12_11_41_31,2026_06_12_14_54_19,11748.951618909836,9.045084971874746e-05,0.07083281129598618,0.06890378892421722,0.001929022721014917,0.125629261136055,0.12359518557786942,0.002034044126048684,7.739991664886475,9.092756271362305,0.57475346326828,0.9053531289100647,436.80340576171875,0.0
5,2026_06_12_14_57_50,2026_06_12_18_11_01,11778.95176768303,8.535533905932714e-05,0.072036974132061,0.07010062038898468,0.0019363518804311752,0.12814512848854065,0.12612086534500122,0.002024256158620119,7.660828590393066,9.003686904907227,0.5852248668670654,0.908423662185669,439.01080322265625,0.0
6,2026_06_12_18_12_39,2026_06_12_21_26_54,11689.725067138672,7.938926261462375e-05,0.0673205703496933,0.06537531316280365,0.0019452578853815794,0.1156492531299591,0.11362998932600021,0.0020192591473460197,8.005858421325684,9.464295387268066,0.5944395661354065,0.9190804362297058,442.27252197265625,0.0
7,2026_06_12_21_30_29,2026_06_13_00_40_17,11869.560089826584,7.269952498697731e-05,0.070370152592659,0.06846590340137482,0.0019042493076995015,0.11656889319419861,0.11456283181905746,0.0020060408860445023,7.952950477600098,9.423126220703125,0.5893160104751587,0.9192947149276733,447.0499572753906,0.0
8,2026_06_13_00_43_56,2026_06_13_03_52_51,11606.545481204987,6.545084971874711e-05,0.06516748666763306,0.06323069334030151,0.001936790649779141,0.1252616047859192,0.12326061725616455,0.0020009728614240885,7.717979431152344,9.105703353881836,0.5929151177406311,0.9158551096916199,449.4520568847656,0.0
9,2026_06_13_03_54_35,2026_06_13_07_10_16,11439.259966373444,5.782172325201118e-05,0.05753582715988159,0.055614177137613297,0.0019216516520828009,0.1116923913359642,0.10969750583171844,0.001994858495891094,8.129266738891602,9.613224983215332,0.6050519943237305,0.9236525297164917,452.0427551269531,0.0
10,2026_06_13_07_13_29,2026_06_13_10_26_04,11934.556206703186,4.999999999999971e-05,0.04302876442670822,0.041130080819129944,0.0018986841896548867,0.11409411579370499,0.11211025714874268,0.0019838714506477118,8.035557746887207,9.517313957214355,0.6067344546318054,0.9214271306991577,452.7637023925781,0.0
11,2026_06_13_10_30_27,2026_06_13_13_42_13,11817.45865035057,4.217827674798813e-05,0.06130463629961014,0.05942127853631973,0.0018833595095202327,0.10847171396017075,0.10648193210363388,0.001989789539948106,8.24018669128418,9.743542671203613,0.6154457926750183,0.9286544322967529,455.1290588378906,0.0
12,2026_06_13_13_44_01,2026_06_13_16_56_25,11613.709576129913,3.4549150281252467e-05,0.061497870832681656,0.05958419665694237,0.0019136753398925066,0.11146686971187592,0.10949356853961945,0.001973319100216031,8.110093116760254,9.61793041229248,0.6025155782699585,0.9286015033721924,455.8154296875,0.0
13,2026_06_13_17_00_06,2026_06_13_20_14_25,11765.90138220787,2.7300475013022544e-05,0.05211225897073746,0.050225190818309784,0.001887069782242179,0.10964695364236832,0.10767640173435211,0.001970523502677679,8.165657997131348,9.696518898010254,0.6230738759040833,0.9279091954231262,457.7226867675781,0.0
14,2026_06_13_20_19_06,2026_06_13_23_31_23,11939.394023180008,2.0610737385376247e-05,0.052114084362983704,0.05022411793470383,0.0018899678252637386,0.10971584171056747,0.10775087028741837,0.001964953960850835,8.18949031829834,9.69190788269043,0.6180718541145325,0.9292202591896057,459.13885498046875,0.0
